English names,Hindi names
Hard Rock Cafe,हार्ड रॉक कैफे
Stone Water Grill,स्टोन वाटर ग्रिल
Phulenagar,फुलेनगर
Hari Ganga,हारी गंगा
Geological Survey of India,भूवैज्ञानिक सर्वेक्षण विभाग
Road Transport Authority,रोड ट्रांसपोर्ट अथॉरिटी
Nisarg,निसर्ग
Bhor,भोर
Nira,नीरा
Jejuri,जेजुरी
Saswad,सासवड
Chivhewadi,चिव्हेवाडी
Nasrapur,नसरापुर
Wadgaon,वडगांव
Bedsa,बेडसा
Karli,कार्ली
Lonavala,लोणावळा
Krishna,कृष्णा
Narayangaon,नारायणगांव
Sun N Sand,सन एन सैंड
Le Pizzeria,ले पिज्जेरिया
Sriman,श्रीमान
Sangamwadi,संगमवाड़ी
Asia Kitchen,एशिया किचन
Sirona,सिरोना
Crossword,क्रॉसवर्ड
Mukul Petrol Pump,मुकुल पेट्रोल पंप
High Spirits,हाई स्पिरिट्स
Thai House,थाई हाउस
Ambedkar Chowk,अंबेडकर चौक
Khadki,खड़की
Khandala,खंडाला
Iris,आईरिस
à¤²à¥‹à¤¹à¤—à¤¡à¤µà¤¾à¤¡à¥€,लोहगडवाडी
Yummy Tummy,यम्मी टम्मी
Megamart Shop,मेगामार्ट शॉप
Crossword Bookstore,क्रॉसवर्ड बुकस्टोर
Pushkar Sweets,पुष्कर स्वीट्स
Karachi Sweets,कराची स्वीट्स
Wanawadi,वानवड़ी
Rajgurunagar,राजगुरुनगर
Noble Hospital,नोबल हॉस्पिटल
Fame,फेम
Seasonal Tastes,सीज़नल टेस्‍ट्स
Mix@36,मिक्स@36
Raste Wada,रस्ते वाडा
Vimannagar Ganesh Temple,विमाननगर गणेश मंदिर
Magarpatta City Public School,मगरपट्टा सिटी पब्लिक स्कूल
Jasminium,जैस्मिनियम
Magarpatta City Main Gate,मगरपट्टा सिटी मुख्य द्वार
Magarpatta City South Gate,मगरपट्टा सिटी दक्षिण द्वार
Mundhwa,मुंढवा
Hind Mutton Shop,हिंद मटन शॉप
Hairdresser,हेयरड्रेसर
Amir Chicken Shop,अमीर चिकन शॉप
Aroma's,अरोमा'स
Renault Fatimanagar,रेनॉल्ट फातिमानगर
Haka,हाका
Cafe Coffee Day,कैफे कॉफी डे
Pune Cantonment,पुणे कैंटोनमेंट
McDonald's,मैकडॉनल्ड्स
Bank of Baroda,बैंक ऑफ बड़ौदा
Millenium Gate,मिलेनियम गेट
Thousand Oaks,थाउज़ेंड ओक्स
11 East Street Cafe,11 ईस्ट स्ट्रीट कैफे
Pune Cantonment Fire Station,पुणे कैंटोनमेंट फायर स्टेशन
Kareem's,करीम्स
Victory Cinema,विक्टरी सिनेमा
Marz-O-Rin,मार्ज़-ओ-रिन
Aurora Towers,अरोरा टावर्स
West End,वेस्ट एंड
Kwality,क्वालिटी
Sheetal Arch,शीतल आर्च
Sardar Patel Cantonment General Hospital,सरदार पटेल कैंटोनमेंट जनरल हॉस्पिटल
Narayan Peth,नारायण पेठ
Appa Balwant Chowk,अप्पा बलवंत चौक
Hutatma Chowk,हुतात्मा चौक
Pandit Gagabhatta Chowk,पंडित गगाभट्ट चौक
Sonya Maruti Chowk,सोन्या मारुति चौक
Sigree,सिग्री
Collector Kacheri,कलेक्टर कचेरी
Pune General Post Office,पुणे जनरल पोस्ट ऑफिस
Inox,इनॉक्स
Flags,फ्लैग्स
Coffee House,कॉफी हाउस
Ram Krishna,राम कृष्णा
Starbucks,स्टारबक्स
Gurudwara,गुरुद्वारा
Fatima Nagar,फातिमा नगर
Hinjawadi Phase 1,हिंजवडी फेज 1
Krishna Hatti Chowk,कृष्णा हाटी चौक
Ganpati Chowk,गणपति चौक
Raviraj,रवीराज
Deccan Gymkhana,डेक्कन जिमखाना
Dr. Babasaheb Ambedkar Cantonment General Hospital,डॉ. बाबासाहेब आंबेडकर कैंटोनमेंट जनरल हॉस्पिटल
Kedari Petrol Pump,केदारी पेट्रोल पंप
Trinco,ट्रिन्को
Cafe Code Red,कैफे कोड रेड
Ghorpuri,घोर्पुरी
Pune Railway Station Bus Terminus,पुणे रेलवे स्टेशन बस टर्मिनस
National War Memorial Southern Command,नेशनल वॉर मेमोरियल साउदर्न कमांड
Command Hospital Southern Command,कमांड हॉस्पिटल साउदर्न कमांड
Shanipar Chowk,शनिपार चौक
Sambhaji Police Chowki,संभाजी पुलिस चौकी
